INFO buildroot.py:497:  Mock Version: 3.0
DEBUG util.py:445:  rpm-build-libs-4.14.3-23.el8.x86_64
DEBUG util.py:445:  gc-7.6.4-3.el8.x86_64
DEBUG util.py:445:  libipt-1.6.1-8.el8.x86_64
DEBUG util.py:445:  rpm-build-4.14.3-23.el8.x86_64
DEBUG util.py:445:  util-linux-2.32.1-35.el8.x86_64
DEBUG util.py:445:  which-2.21-17.el8.x86_64
DEBUG util.py:445:  make-4.2.1-11.el8.x86_64
DEBUG util.py:445:  gpg-pubkey-6275f250-5e26cb2e
DEBUG util.py:445:  crypto-policies-20211116-1.gitae470d6.el8.noarch
DEBUG util.py:445:  python3-setuptools-wheel-39.2.0-6.el8.noarch
DEBUG util.py:445:  python-rpm-macros-3-41.el8.noarch
DEBUG util.py:445:  rust-srpm-macros-5-2.el8.noarch
DEBUG util.py:445:  perl-srpm-macros-1-25.el8.noarch
DEBUG util.py:445:  ocaml-srpm-macros-5-4.el8.noarch
DEBUG util.py:445:  ghc-srpm-macros-1.4.2-7.el8.noarch
DEBUG util.py:445:  publicsuffix-list-dafsa-20180723-1.el8.noarch
DEBUG util.py:445:  ncurses-base-6.1-9.20180224.el8.noarch
DEBUG util.py:445:  kernel-headers-4.18.0-372.9.1.el8.x86_64
DEBUG util.py:445:  setup-2.12.2-6.el8.noarch
DEBUG util.py:445:  basesystem-11-5.el8.noarch
DEBUG util.py:445:  libselinux-2.9-5.el8.x86_64
DEBUG util.py:445:  glibc-all-langpacks-2.28-189.5.el8_6.x86_64
DEBUG util.py:445:  glibc-common-2.28-189.5.el8_6.x86_64
DEBUG util.py:445:  bash-4.4.20-3.el8.x86_64
DEBUG util.py:445:  zlib-1.2.11-18.el8_5.x86_64
DEBUG util.py:445:  bzip2-libs-1.0.6-26.el8.x86_64
DEBUG util.py:445:  xz-libs-5.2.4-4.el8_6.x86_64
DEBUG util.py:445:  libstdc++-8.5.0-10.el8.x86_64
DEBUG util.py:445:  mpfr-3.1.6-1.el8.x86_64
DEBUG util.py:445:  sqlite-libs-3.26.0-15.el8.x86_64
DEBUG util.py:445:  libuuid-2.32.1-35.el8.x86_64
DEBUG util.py:445:  popt-1.18-1.el8.x86_64
DEBUG util.py:445:  libcom_err-1.45.6-4.el8.x86_64
DEBUG util.py:445:  libunistring-0.9.9-3.el8.x86_64
DEBUG util.py:445:  libattr-2.4.48-3.el8.x86_64
DEBUG util.py:445:  sed-4.5-5.el8.x86_64
DEBUG util.py:445:  lua-libs-5.3.4-12.el8.x86_64
DEBUG util.py:445:  libmpc-1.1.0-9.1.el8.x86_64
DEBUG util.py:445:  expat-2.2.5-8.el8.x86_64
DEBUG util.py:445:  libpsl-0.20.2-6.el8.x86_64
DEBUG util.py:445:  libgcrypt-1.8.5-6.el8.x86_64
DEBUG util.py:445:  unzip-6.0-46.el8.x86_64
DEBUG util.py:445:  elfutils-default-yama-scope-0.186-1.el8.noarch
DEBUG util.py:445:  glibc-headers-2.28-189.5.el8_6.x86_64
DEBUG util.py:445:  keyutils-libs-1.5.10-9.el8.x86_64
DEBUG util.py:445:  audit-libs-3.0.7-2.el8.2.x86_64
DEBUG util.py:445:  p11-kit-trust-0.23.22-1.el8.x86_64
DEBUG util.py:445:  pcre-8.42-6.el8.x86_64
DEBUG util.py:445:  lz4-libs-1.8.3-3.el8_4.x86_64
DEBUG util.py:445:  libsemanage-2.9-8.el8.x86_64
DEBUG util.py:445:  elfutils-0.186-1.el8.x86_64
DEBUG util.py:445:  libmetalink-0.1.3-7.el8.x86_64
DEBUG util.py:445:  tar-1.30-5.el8.x86_64
DEBUG util.py:445:  libksba-1.3.5-7.el8.x86_64
DEBUG util.py:445:  zstd-1.4.4-1.el8.x86_64
DEBUG util.py:445:  libxml2-2.9.7-13.el8.x86_64
DEBUG util.py:445:  bzip2-1.0.6-26.el8.x86_64
DEBUG util.py:445:  diffutils-3.6-6.el8.x86_64
DEBUG util.py:445:  brotli-1.0.6-3.el8.x86_64
DEBUG util.py:445:  libnghttp2-1.33.0-3.el8_2.1.x86_64
DEBUG util.py:445:  pkgconf-1.4.2-1.el8.x86_64
DEBUG util.py:445:  libxcrypt-devel-4.1.1-6.el8.x86_64
DEBUG util.py:445:  libsigsegv-2.11-5.el8.x86_64
DEBUG util.py:445:  libsmartcols-2.32.1-35.el8.x86_64
